Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore
In the Name of the Father,1993,133,Biography,8.1,Jim Sheridan,Daniel Day-Lewis,156842,25010410.0,84.0
Ba wang bie ji,1993,171,Drama,8.1,Kaige Chen,Leslie Cheung,25088,5216888.0,
Dà hóng denglong gaogao guà,1991,125,Drama,8.1,Yimou Zhang,Gong Li,29662,2603061.0,
Dead Poets Society,1989,128,Comedy,8.1,Peter Weir,Robin Williams,425457,95860116.0,79.0
Stand by Me,1986,89,Adventure,8.1,Rob Reiner,Wil Wheaton,363401,52287414.0,75.0
Platoon,1986,120,Drama,8.1,Oliver Stone,Charlie Sheen,381222,138530565.0,92.0
"Paris, Texas",1984,145,Drama,8.1,Wim Wenders,Harry Dean Stanton,91188,2181987.0,78.0
Kaze no tani no Naushika,1984,117,Animation,8.1,Hayao Miyazaki,Sumi Shimamoto,150924,495770.0,86.0
The Thing,1982,109,Horror,8.1,John Carpenter,Kurt Russell,371271,13782838.0,57.0
Pink Floyd: The Wall,1982,95,Drama,8.1,Alan Parker,Bob Geldof,76081,22244207.0,47.0
Fitzcarraldo,1982,158,Adventure,8.1,Werner Herzog,Klaus Kinski,31595,616558047.0,
Fanny och Alexander,1982,188,Drama,8.1,Ingmar Bergman,Bertil Guve,57784,4971340.0,100.0
Blade Runner,1982,117,Action,8.1,Ridley Scott,Harrison Ford,693827,32868943.0,84.0
The Elephant Man,1980,124,Biography,8.1,David Lynch,Anthony Hopkins,220078,753585104.0,78.0
Life of Brian,1979,94,Comedy,8.1,Terry Jones,Graham Chapman,367250,20045115.0,77.0
The Deer Hunter,1978,183,Drama,8.1,Michael Cimino,Robert De Niro,311361,48979328.0,86.0
Rocky,1976,120,Drama,8.1,John G. Avildsen,Sylvester Stallone,518546,117235247.0,70.0
Network,1976,121,Drama,8.1,Sidney Lumet,Faye Dunaway,144911,683407829.0,83.0
Barry Lyndon,1975,185,Adventure,8.1,Stanley Kubrick,Ryan O'Neal,149843,36008144.0,89.0
Zerkalo,1975,107,Biography,8.1,Andrei Tarkovsky,Margarita Terekhova,40081,177345.0,
Chinatown,1974,130,Drama,8.1,Roman Polanski,Jack Nicholson,294230,29000000.0,92.0
Paper Moon,1973,102,Comedy,8.1,Peter Bogdanovich,Ryan O'Neal,42285,30933743.0,77.0
Viskningar och rop,1972,91,Drama,8.1,Ingmar Bergman,Harriet Andersson,30206,1742348.0,
Solaris,1972,167,Drama,8.1,Andrei Tarkovsky,Natalya Bondarchuk,81021,526246744.0,90.0
Le samouraï,1967,105,Crime,8.1,Jean-Pierre Melville,Alain Delon,45434,39481.0,
Cool Hand Luke,1967,127,Crime,8.1,Stuart Rosenberg,Paul Newman,161984,16217773.0,92.0
Persona,1966,85,Drama,8.1,Ingmar Bergman,Bibi Andersson,103191,464738597.0,86.0
Andrei Rublev,1966,205,Biography,8.1,Andrei Tarkovsky,Anatoliy Solonitsyn,46947,102021.0,
La battaglia di Algeri,1966,121,Drama,8.1,Gillo Pontecorvo,Brahim Hadjadj,53089,55908.0,96.0
El ángel exterminador,1962,95,Drama,8.1,Luis Buñuel,Silvia Pinal,29682,345262196.0,
What Ever Happened to Baby Jane?,1962,134,Drama,8.1,Robert Aldrich,Bette Davis,50058,4050000.0,75.0
Sanjuro,1962,96,Action,8.1,Akira Kurosawa,Toshirô Mifune,33044,848120995.0,
The Man Who Shot Liberty Valance,1962,123,Drama,8.1,John Ford,James Stewart,68827,541426567.0,94.0
Ivanovo detstvo,1962,95,Drama,8.1,Andrei Tarkovsky,Eduard Abalov,31728,388466313.0,
Jungfrukällan,1960,89,Drama,8.1,Ingmar Bergman,Max von Sydow,26697,1526000.0,
Inherit the Wind,1960,128,Biography,8.1,Stanley Kramer,Spencer Tracy,27254,62850934.0,75.0
Les quatre cents coups,1959,99,Crime,8.1,François Truffaut,Jean-Pierre Léaud,105291,263473309.0,
Ben-Hur,1959,212,Adventure,8.1,William Wyler,Charlton Heston,219466,74700000.0,90.0
Kakushi-toride no san-akunin,1958,139,Adventure,8.1,Akira Kurosawa,Toshirô Mifune,34797,443906080.0,
Le notti di Cabiria,1957,110,Drama,8.1,Federico Fellini,Giulietta Masina,42940,752045.0,
Kumonosu-jô,1957,110,Drama,8.1,Akira Kurosawa,Toshirô Mifune,46678,612604239.0,
The Bridge on the River Kwai,1957,161,Adventure,8.1,David Lean,William Holden,203463,44908000.0,87.0
On the Waterfront,1954,108,Crime,8.1,Elia Kazan,Marlon Brando,142107,9600000.0,91.0
Le salaire de la peur,1953,131,Adventure,8.1,Henri-Georges Clouzot,Yves Montand,54588,124570860.0,85.0
Ace in the Hole,1951,111,Drama,8.1,Billy Wilder,Kirk Douglas,31568,3969893.0,72.0
White Heat,1949,114,Action,8.1,Raoul Walsh,James Cagney,29807,323145090.0,
The Third Man,1949,104,Film-Noir,8.1,Carol Reed,Orson Welles,158731,449191.0,97.0
The Red Shoes,1948,135,Drama,8.1,Michael Powell,Emeric Pressburger,30935,10900000.0,
The Shop Around the Corner,1940,99,Comedy,8.1,Ernst Lubitsch,Margaret Sullavan,28450,203300.0,96.0
Rebecca,1940,130,Drama,8.1,Alfred Hitchcock,Laurence Olivier,123942,4360000.0,86.0
Mr. Smith Goes to Washington,1939,129,Comedy,8.1,Frank Capra,James Stewart,107017,9600000.0,73.0
Gone with the Wind,1939,238,Drama,8.1,Victor Fleming,George Cukor,290074,198676459.0,97.0
La Grande Illusion,1937,113,Drama,8.1,Jean Renoir,Jean Gabin,33829,172885.0,
It Happened One Night,1934,105,Comedy,8.1,Frank Capra,Clark Gable,94016,4360000.0,87.0
La passion de Jeanne d'Arc,1928,110,Biography,8.1,Carl Theodor Dreyer,Maria Falconetti,47676,21877.0,
The Circus,1928,72,Comedy,8.1,Charles Chaplin,Charles Chaplin,30205,259701815.0,90.0
Sunrise: A Song of Two Humans,1927,94,Drama,8.1,F.W. Murnau,George O'Brien,46865,539540.0,
The General,1926,67,Action,8.1,Clyde Bruckman,Buster Keaton,81156,1033895.0,
Das Cabinet des Dr. Caligari,1920,76,Fantasy,8.1,Robert Wiene,Werner Krauss,57428,337574718.0,
Badhaai ho,2018,124,Comedy,8.0,Amit Ravindernath Sharma,Ayushmann Khurrana,27978,28738362.0,
Togo,2019,113,Adventure,8.0,Ericson Core,Willem Dafoe,37556,874211619.0,69.0
Airlift,2016,130,Drama,8.0,Raja Menon,Akshay Kumar,52897,96927481.0,
Bajrangi Bhaijaan,2015,163,Action,8.0,Kabir Khan,Salman Khan,72245,8178001.0,
Baby,2015,159,Action,8.0,Neeraj Pandey,Akshay Kumar,52848,223025817.0,
La La Land,2016,128,Comedy,8.0,Damien Chazelle,Ryan Gosling,505918,151101803.0,94.0
Lion,2016,118,Biography,8.0,Garth Davis,Dev Patel,213970,51739495.0,69.0
The Martian,2015,144,Adventure,8.0,Ridley Scott,Matt Damon,760094,228433663.0,80.0
Zootopia,2016,108,Animation,8.0,Byron Howard,Rich Moore,434143,341268248.0,78.0
Bãhubali: The Beginning,2015,159,Action,8.0,S.S. Rajamouli,Prabhas,102972,6738000.0,
Kaguyahime no monogatari,2013,137,Animation,8.0,Isao Takahata,Chloë Grace Moretz,38746,1506975.0,89.0
Wonder,2017,113,Drama,8.0,Stephen Chbosky,Jacob Tremblay,141923,132422809.0,66.0
Gully Boy,2019,154,Drama,8.0,Zoya Akhtar,Vijay Varma,31886,5566534.0,65.0
Special Chabbis,2013,144,Crime,8.0,Neeraj Pandey,Akshay Kumar,51069,1079369.0,
Short Term 12,2013,96,Drama,8.0,Destin Daniel Cretton,Brie Larson,81770,1010414.0,82.0
Serbuan maut 2: Berandal,2014,150,Action,8.0,Gareth Evans,Iko Uwais,114316,2625803.0,71.0
The Imitation Game,2014,114,Biography,8.0,Morten Tyldum,Benedict Cumberbatch,685201,91125683.0,73.0
Guardians of the Galaxy,2014,121,Action,8.0,James Gunn,Chris Pratt,1043455,333176600.0,76.0
Blade Runner 2049,2017,164,Action,8.0,Denis Villeneuve,Harrison Ford,461823,92054159.0,81.0
Her,2013,126,Drama,8.0,Spike Jonze,Joaquin Phoenix,540772,25568251.0,90.0
Bohemian Rhapsody,2018,134,Biography,8.0,Bryan Singer,Rami Malek,450349,216428042.0,49.0
The Revenant,2015,156,Action,8.0,Alejandro G. Iñárritu,Leonardo DiCaprio,705589,183637894.0,76.0
The Perks of Being a Wallflower,2012,103,Drama,8.0,Stephen Chbosky,Logan Lerman,462252,17738570.0,67.0
Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,Action,8.0,José Padilha,Wagner Moura,79200,100119.0,71.0
The King's Speech,2010,118,Biography,8.0,Tom Hooper,Colin Firth,639603,138797449.0,88.0
The Help,2011,146,Drama,8.0,Tate Taylor,Emma Stone,428521,169708112.0,62.0
Deadpool,2016,108,Action,8.0,Tim Miller,Ryan Reynolds,902669,363070709.0,65.0
Darbareye Elly,2009,119,Drama,8.0,Asghar Farhadi,Golshifteh Farahani,45803,106662.0,87.0
Dev.D,2009,144,Drama,8.0,Anurag Kashyap,Abhay Deol,28749,10950.0,
Yip Man,2008,106,Action,8.0,Wilson Yip,Donnie Yen,211427,613703997.0,59.0
My Name Is Khan,2010,165,Drama,8.0,Karan Johar,Shah Rukh Khan,98575,4018695.0,50.0
Nefes: Vatan Sagolsun,2009,128,Action,8.0,Levent Semerci,Erdem Can,31838,45527809.0,
Slumdog Millionaire,2008,120,Drama,8.0,Danny Boyle,Loveleen Tandan,798882,141319928.0,84.0
Black Swan,2010,108,Drama,8.0,Darren Aronofsky,Natalie Portman,699673,106954678.0,79.0
Tropa de Elite,2007,115,Action,8.0,José Padilha,Wagner Moura,98097,8060.0,33.0
The Avengers,2012,143,Action,8.0,Joss Whedon,Robert Downey Jr.,1260806,623279547.0,69.0
Persepolis,2007,96,Animation,8.0,Vincent Paronnaud,Marjane Satrapi,88656,4445756.0,90.0
Dallas Buyers Club,2013,117,Biography,8.0,Jean-Marc Vallée,Matthew McConaughey,441614,27298285.0,80.0
The Pursuit of Happyness,2006,117,Biography,8.0,Gabriele Muccino,Will Smith,448930,163566459.0,64.0
Blood Diamond,2006,143,Adventure,8.0,Edward Zwick,Leonardo DiCaprio,499439,57366262.0,64.0
The Bourne Ultimatum,2007,115,Action,8.0,Paul Greengrass,Matt Damon,604694,227471070.0,85.0
Bin-jip,2004,88,Crime,8.0,Ki-duk Kim,Seung-Yun Lee,50610,238507.0,72.0
Sin City,2005,124,Crime,8.0,Frank Miller,Quentin Tarantino,738512,74103820.0,74.0
Le scaphandre et le papillon,2007,112,Biography,8.0,Julian Schnabel,Laura Obiols,103284,5990075.0,92.0
G.O.R.A.,2004,127,Adventure,8.0,Ömer Faruk Sorak,Cem Yilmaz,56960,196206077.0,
Ratatouille,2007,111,Animation,8.0,Brad Bird,Jan Pinkava,641645,206445654.0,96.0
Casino Royale,2006,144,Action,8.0,Martin Campbell,Daniel Craig,582239,167445960.0,80.0
Kill Bill: Vol. 2,2004,137,Action,8.0,Quentin Tarantino,Uma Thurman,683900,66208183.0,83.0
Vozvrashchenie,2003,110,Drama,8.0,Andrey Zvyagintsev,Vladimir Garin,42399,502028.0,82.0
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103,Drama,8.0,Ki-duk Kim,Ki-duk Kim,77520,2380788.0,85.0
Mar adentro,2014,126,Biography,8.0,Alejandro Amenábar,Javier Bardem,77554,2086345.0,74.0
Cinderella Man,2005,144,Biography,8.0,Ron Howard,Russell Crowe,176151,61649911.0,69.0
Kal Ho Naa Ho,2003,186,Comedy,8.0,Nikkhil Advani,Preity Zinta,63460,1787378.0,54.0
Mou gaan dou,2002,101,Action,8.0,Andrew Lau,Alan Mak,117857,169659.0,75.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,Action,8.0,Gore Verbinski,Johnny Depp,1015122,305413918.0,63.0
Big Fish,2003,125,Adventure,8.0,Tim Burton,Ewan McGregor,415218,66257002.0,58.0
The Incredibles,2004,115,Animation,8.0,Brad Bird,Craig T. Nelson,657047,261441092.0,90.0
Yeopgijeogin geunyeo,2001,137,Comedy,8.0,Jae-young Kwak,Tae-Hyun Cha,45403,772721890.0,
Dogville,2003,178,Crime,8.0,Lars von Trier,Nicole Kidman,137963,1530386.0,60.0
Vizontele,2001,110,Comedy,8.0,Yilmaz Erdogan,Ömer Faruk Sorak,33592,200178699.0,
Donnie Darko,2001,113,Drama,8.0,Richard Kelly,Jake Gyllenhaal,740086,1480006.0,88.0
Magnolia,1999,188,Drama,8.0,Paul Thomas Anderson,Tom Cruise,289742,22455976.0,77.0
Dancer in the Dark,2000,140,Crime,8.0,Lars von Trier,Björk,102285,4184036.0,61.0
The Straight Story,1999,112,Biography,8.0,David Lynch,Richard Farnsworth,82002,6203044.0,86.0
Pâfekuto burû,1997,81,Animation,8.0,Satoshi Kon,Junko Iwao,58192,776665.0,
Festen,1998,105,Drama,8.0,Thomas Vinterberg,Ulrich Thomsen,78341,1647780.0,82.0
Central do Brasil,1998,110,Drama,8.0,Walter Salles,Fernanda Montenegro,36419,5595428.0,80.0
The Iron Giant,1999,86,Animation,8.0,Brad Bird,Eli Marienthal,172083,23159305.0,85.0
Knockin' on Heaven's Door,1997,87,Action,8.0,Thomas Jahn,Til Schweiger,27721,3296.0,
Sling Blade,1996,135,Drama,8.0,Billy Bob Thornton,Billy Bob Thornton,86838,24475416.0,84.0
Secrets & Lies,1996,136,Comedy,8.0,Mike Leigh,Timothy Spall,37564,13417292.0,91.0
Twelve Monkeys,1995,129,Mystery,8.0,Terry Gilliam,Bruce Willis,578443,57141459.0,74.0
Kôkaku Kidôtai,1995,83,Animation,8.0,Mamoru Oshii,Atsuko Tanaka,129231,515905.0,76.0
The Nightmare Before Christmas,1993,76,Animation,8.0,Henry Selick,Danny Elfman,300208,75082668.0,82.0
Groundhog Day,1993,101,Comedy,8.0,Harold Ramis,Bill Murray,577991,70906973.0,72.0
Bound by Honor,1993,180,Crime,8.0,Taylor Hackford,Damian Chapa,28825,4496583.0,47.0
Scent of a Woman,1992,156,Drama,8.0,Martin Brest,Al Pacino,263918,63895607.0,59.0
Aladdin,1992,90,Animation,8.0,Ron Clements,John Musker,373845,217350219.0,86.0
JFK,1991,189,Drama,8.0,Oliver Stone,Kevin Costner,142110,70405498.0,72.0
Beauty and the Beast,1991,84,Animation,8.0,Gary Trousdale,Kirk Wise,417178,218967620.0,95.0
Dances with Wolves,1990,181,Adventure,8.0,Kevin Costner,Kevin Costner,240266,184208848.0,72.0
Do the Right Thing,1989,120,Comedy,8.0,Spike Lee,Danny Aiello,89429,27545445.0,93.0
Rain Man,1988,133,Drama,8.0,Barry Levinson,Dustin Hoffman,473064,178800000.0,65.0
Akira,1988,124,Animation,8.0,Katsuhiro Ôtomo,Mitsuo Iwata,164918,553171.0,
The Princess Bride,1987,98,Adventure,8.0,Rob Reiner,Cary Elwes,393899,30857814.0,77.0
Der Himmel über Berlin,1987,128,Drama,8.0,Wim Wenders,Bruno Ganz,64722,3333969.0,79.0
Au revoir les enfants,1987,104,Drama,8.0,Louis Malle,Gaspard Manesse,31163,4542825.0,88.0
Tenkû no shiro Rapyuta,1986,125,Animation,8.0,Hayao Miyazaki,Mayumi Tanaka,150140,715920290.0,78.0
The Terminator,1984,107,Action,8.0,James Cameron,Arnold Schwarzenegger,799795,38400000.0,84.0
Gandhi,1982,191,Biography,8.0,Richard Attenborough,Ben Kingsley,217664,52767889.0,79.0
Kagemusha,1980,180,Drama,8.0,Akira Kurosawa,Tatsuya Nakadai,32195,66363801.0,84.0
Being There,1979,130,Comedy,8.0,Hal Ashby,Peter Sellers,65625,30177511.0,83.0
Annie Hall,1977,93,Comedy,8.0,Woody Allen,Woody Allen,251823,39200000.0,92.0
Jaws,1975,124,Adventure,8.0,Steven Spielberg,Roy Scheider,543388,260000000.0,87.0
Dog Day Afternoon,1975,125,Biography,8.0,Sidney Lumet,Al Pacino,235652,50000000.0,86.0
Young Frankenstein,1974,106,Comedy,8.0,Mel Brooks,Gene Wilder,143359,86300000.0,80.0
Papillon,1973,151,Biography,8.0,Franklin J. Schaffner,Steve McQueen,121627,53267000.0,58.0
The Exorcist,1973,122,Horror,8.0,William Friedkin,Ellen Burstyn,362393,232906145.0,81.0
Sleuth,1972,138,Mystery,8.0,Joseph L. Mankiewicz,Laurence Olivier,44748,4081254.0,
The Last Picture Show,1971,118,Drama,8.0,Peter Bogdanovich,Timothy Bottoms,42456,29133000.0,93.0
Fiddler on the Roof,1971,181,Drama,8.0,Norman Jewison,Topol,39491,80500000.0,67.0
Il conformista,1970,113,Drama,8.0,Bernardo Bertolucci,Jean-Louis Trintignant,27067,541940.0,100.0
Butch Cassidy and the Sundance Kid,1969,110,Biography,8.0,George Roy Hill,Paul Newman,201888,102308889.0,66.0
Rosemary's Baby,1968,137,Drama,8.0,Roman Polanski,Mia Farrow,193674,287621537.0,96.0
Planet of the Apes,1968,112,Adventure,8.0,Franklin J. Schaffner,Charlton Heston,165167,33395426.0,79.0
The Graduate,1967,106,Comedy,8.0,Mike Nichols,Dustin Hoffman,253676,104945305.0,83.0
Who's Afraid of Virginia Woolf?,1966,131,Drama,8.0,Mike Nichols,Elizabeth Taylor,68926,839059631.0,75.0
The Sound of Music,1965,172,Biography,8.0,Robert Wise,Julie Andrews,205425,163214286.0,63.0
Doctor Zhivago,1965,197,Drama,8.0,David Lean,Omar Sharif,69903,111722000.0,69.0
Per un pugno di dollari,1964,99,Action,8.0,Sergio Leone,Clint Eastwood,198219,14500000.0,65.0
8½,1963,138,Drama,8.0,Federico Fellini,Marcello Mastroianni,108844,50690.0,91.0
Vivre sa vie: Film en douze tableaux,1962,80,Drama,8.0,Jean-Luc Godard,Anna Karina,28057,482545511.0,
The Hustler,1961,134,Drama,8.0,Robert Rossen,Paul Newman,75067,8284000.0,90.0
La dolce vita,1960,174,Comedy,8.0,Federico Fellini,Marcello Mastroianni,66621,19516000.0,95.0
Rio Bravo,1959,141,Action,8.0,Howard Hawks,John Wayne,56305,12535000.0,93.0
Anatomy of a Murder,1959,161,Crime,8.0,Otto Preminger,James Stewart,59847,11900000.0,95.0
Touch of Evil,1958,95,Crime,8.0,Orson Welles,Charlton Heston,98431,2237659.0,99.0
Cat on a Hot Tin Roof,1958,108,Drama,8.0,Richard Brooks,Elizabeth Taylor,45062,17570324.0,84.0
Sweet Smell of Success,1957,96,Drama,8.0,Alexander Mackendrick,Burt Lancaster,28137,490441324.0,100.0
The Killing,1956,84,Crime,8.0,Stanley Kubrick,Sterling Hayden,81702,309154156.0,91.0
The Night of the Hunter,1955,92,Crime,8.0,Charles Laughton,Robert Mitchum,81980,654000.0,99.0
La Strada,1954,108,Drama,8.0,Federico Fellini,Anthony Quinn,58314,101832153.0,
Les diaboliques,1955,117,Crime,8.0,Henri-Georges Clouzot,Simone Signoret,61503,67939432.0,
Stalag 17,1953,120,Comedy,8.0,Billy Wilder,William Holden,51046,780722628.0,84.0
Roman Holiday,1953,118,Comedy,8.0,William Wyler,Gregory Peck,127256,557517195.0,78.0
A Streetcar Named Desire,1951,122,Drama,8.0,Elia Kazan,Vivien Leigh,99182,8000000.0,97.0
In a Lonely Place,1950,94,Drama,8.0,Nicholas Ray,Humphrey Bogart,26784,532877349.0,
Kind Hearts and Coronets,1949,106,Comedy,8.0,Robert Hamer,Dennis Price,34485,312368637.0,
Rope,1948,80,Crime,8.0,Alfred Hitchcock,James Stewart,129783,466149116.0,73.0
Out of the Past,1947,97,Crime,8.0,Jacques Tourneur,Robert Mitchum,32784,790482117.0,
Brief Encounter,1945,86,Drama,8.0,David Lean,Celia Johnson,35601,484221008.0,92.0
Laura,1944,88,Drama,8.0,Otto Preminger,Gene Tierney,42725,4360000.0,
The Best Years of Our Lives,1946,170,Drama,8.0,William Wyler,Myrna Loy,57259,23650000.0,93.0
Arsenic and Old Lace,1942,118,Comedy,8.0,Frank Capra,Cary Grant,65101,460853100.0,
The Maltese Falcon,1941,100,Film-Noir,8.0,John Huston,Humphrey Bogart,148928,2108060.0,96.0
The Grapes of Wrath,1940,129,Drama,8.0,John Ford,Henry Fonda,85559,55000.0,96.0
The Wizard of Oz,1939,102,Adventure,8.0,Victor Fleming,George Cukor,371379,2076020.0,92.0
La règle du jeu,1939,110,Comedy,8.0,Jean Renoir,Marcel Dalio,26725,512863371.0,
The Thin Man,1934,91,Comedy,8.0,W.S. Van Dyke,William Powell,26642,40687532.0,86.0
All Quiet on the Western Front,1930,152,Drama,8.0,Lewis Milestone,Lew Ayres,57318,3270000.0,91.0
Bronenosets Potemkin,1925,75,Drama,8.0,Sergei M. Eisenstein,Aleksandr Antonov,53054,50970.0,97.0
Knives Out,2019,130,Comedy,7.9,Rian Johnson,Daniel Craig,454203,165359751.0,82.0
Dil Bechara,2020,101,Comedy,7.9,Mukesh Chhabra,Sushant Singh Rajput,111478,228629261.0,
Manbiki kazoku,2018,121,Crime,7.9,Hirokazu Koreeda,Lily Franky,62754,3313513.0,93.0
Marriage Story,2019,137,Comedy,7.9,Noah Baumbach,Adam Driver,246644,2000000.0,94.0
Call Me by Your Name,2017,132,Drama,7.9,Luca Guadagnino,Armie Hammer,212651,18095701.0,93.0
"I, Daniel Blake",2016,100,Drama,7.9,Ken Loach,Laura Obiols,53818,258168.0,78.0
Isle of Dogs,2018,101,Animation,7.9,Wes Anderson,Bryan Cranston,139114,32015231.0,82.0
Hunt for the Wilderpeople,2016,101,Adventure,7.9,Taika Waititi,Sam Neill,111483,5202582.0,81.0
Captain Fantastic,2016,118,Comedy,7.9,Matt Ross,Viggo Mortensen,189400,5875006.0,72.0
Sing Street,2016,106,Comedy,7.9,John Carney,Ferdia Walsh-Peelo,85109,3237118.0,79.0
Thor: Ragnarok,2017,130,Action,7.9,Taika Waititi,Chris Hemsworth,587775,315058289.0,74.0
Nightcrawler,2014,117,Crime,7.9,Dan Gilroy,Jake Gyllenhaal,466134,32381218.0,76.0
Jojo Rabbit,2019,108,Comedy,7.9,Taika Waititi,Roman Griffin Davis,297918,349555.0,58.0
Arrival,2016,116,Drama,7.9,Denis Villeneuve,Amy Adams,594181,100546139.0,81.0
Star Wars: Episode VII - The Force Awakens,2015,138,Action,7.9,J.J. Abrams,Daisy Ridley,860823,936662225.0,80.0
Before Midnight,2013,109,Drama,7.9,Richard Linklater,Ethan Hawke,141457,8114627.0,94.0
X-Men: Days of Future Past,2014,132,Action,7.9,Bryan Singer,Patrick Stewart,659763,233921534.0,75.0
Bir Zamanlar Anadolu'da,2011,157,Crime,7.9,Nuri Bilge Ceylan,Muhammet Uzuner,41995,138730.0,82.0
The Artist,2011,100,Comedy,7.9,Michel Hazanavicius,Jean Dujardin,230624,44671682.0,89.0
Edge of Tomorrow,2014,113,Action,7.9,Doug Liman,Tom Cruise,600004,100206256.0,71.0
Amour,2012,127,Drama,7.9,Michael Haneke,Jean-Louis Trintignant,93090,6739492.0,94.0
The Irishman,2019,209,Biography,7.9,Martin Scorsese,Robert De Niro,324720,7000000.0,94.0
Un prophète,2009,155,Crime,7.9,Jacques Audiard,Tahar Rahim,93560,2084637.0,90.0
Moon,2009,97,Drama,7.9,Duncan Jones,Sam Rockwell,335152,5009677.0,67.0
Låt den rätte komma in,2008,114,Crime,7.9,Tomas Alfredson,Kåre Hedebrant,205609,2122065.0,82.0
District 9,2009,112,Action,7.9,Neill Blomkamp,Sharlto Copley,638202,115646235.0,81.0
The Wrestler,2008,109,Drama,7.9,Darren Aronofsky,Mickey Rourke,289415,26236603.0,80.0
Jab We Met,2007,138,Comedy,7.9,Imtiaz Ali,Shahid Kapoor,47720,410800.0,
Boyhood,2014,165,Drama,7.9,Richard Linklater,Ellar Coltrane,335533,25379975.0,100.0
"4 luni, 3 saptamâni si 2 zile",2007,113,Drama,7.9,Cristian Mungiu,Anamaria Marinca,56625,1185783.0,97.0
Star Trek,2009,127,Action,7.9,J.J. Abrams,Chris Pine,577336,257730019.0,82.0
In Bruges,2008,107,Comedy,7.9,Martin McDonagh,Colin Farrell,390334,7757130.0,67.0
The Man from Earth,2007,87,Drama,7.9,Richard Schenkman,David Lee Smith,174125,849967373.0,
Letters from Iwo Jima,2006,141,Action,7.9,Clint Eastwood,Ken Watanabe,154011,13756082.0,89.0
The Fall,2006,117,Adventure,7.9,Tarsem Singh,Lee Pace,107290,2280348.0,64.0
Life of Pi,2012,127,Adventure,7.9,Ang Lee,Suraj Sharma,580708,124987023.0,79.0
Fantastic Mr. Fox,2009,87,Animation,7.9,Wes Anderson,George Clooney,199696,21002919.0,83.0
C.R.A.Z.Y.,2005,129,Comedy,7.9,Jean-Marc Vallée,Michel Côté,31476,527282774.0,81.0
Les choristes,2004,97,Drama,7.9,Christophe Barratier,Gérard Jugnot,57430,3635164.0,56.0
Iron Man,2008,126,Action,7.9,Jon Favreau,Robert Downey Jr.,939644,318412101.0,79.0
Shaun of the Dead,2004,99,Comedy,7.9,Edgar Wright,Simon Pegg,512249,13542874.0,76.0
Gegen die Wand,2004,121,Drama,7.9,Fatih Akin,Birol Ünel,51325,213063755.0,78.0
Mystic River,2003,138,Crime,7.9,Clint Eastwood,Sean Penn,419420,90135191.0,84.0
Harry Potter and the Prisoner of Azkaban,2004,142,Adventure,7.9,Alfonso Cuarón,Daniel Radcliffe,552493,249358727.0,82.0
Ying xiong,2002,120,Action,7.9,Yimou Zhang,Jet Li,173999,53710019.0,85.0
Hable con ella,2002,112,Drama,7.9,Pedro Almodóvar,Rosario Flores,104691,9284265.0,86.0
No Man's Land,2001,98,Comedy,7.9,Danis Tanovic,Branko Djuric,44618,1059830.0,84.0
Cowboy Bebop: Tengoku no tobira,2001,115,Animation,7.9,Shin'ichirô Watanabe,Tensai Okamura,42897,1000045.0,61.0
The Bourne Identity,2002,119,Action,7.9,Doug Liman,Franka Potente,508771,121661683.0,68.0
Nueve reinas,2000,114,Crime,7.9,Fabián Bielinsky,Ricardo Darín,49721,1221261.0,80.0
Children of Men,2006,109,Adventure,7.9,Alfonso Cuarón,Julianne Moore,465113,35552383.0,84.0
Almost Famous,2000,122,Adventure,7.9,Cameron Crowe,Billy Crudup,252586,32534850.0,90.0
Mulholland Dr.,2001,147,Drama,7.9,David Lynch,Naomi Watts,322031,7220243.0,85.0
Toy Story 2,1999,92,Animation,7.9,John Lasseter,Ash Brannon,527512,245852179.0,88.0
Boogie Nights,1997,155,Drama,7.9,Paul Thomas Anderson,Mark Wahlberg,239473,26400640.0,85.0
Mimi wo sumaseba,1995,111,Animation,7.9,Yoshifumi Kondô,Yoko Honna,51943,252243550.0,75.0
Once Were Warriors,1994,102,Crime,7.9,Lee Tamahori,Rena Owen,31590,2201126.0,77.0
True Romance,1993,119,Crime,7.9,Tony Scott,Christian Slater,206918,12281500.0,59.0
Trois couleurs: Bleu,1993,94,Drama,7.9,Krzysztof Kieslowski,Juliette Binoche,89836,1324974.0,85.0
Jûbê ninpûchô,1993,94,Animation,7.9,Yoshiaki Kawajiri,Kôichi Yamadera,34529,713576404.0,
Carlito's Way,1993,144,Crime,7.9,Brian De Palma,Al Pacino,201000,36948322.0,65.0
Edward Scissorhands,1990,105,Drama,7.9,Tim Burton,Johnny Depp,447368,56362352.0,74.0
My Left Foot: The Story of Christy Brown,1989,103,Biography,7.9,Jim Sheridan,Daniel Day-Lewis,68076,14743391.0,97.0
Crimes and Misdemeanors,1989,104,Comedy,7.9,Woody Allen,Martin Landau,54670,18254702.0,77.0
The Untouchables,1987,119,Crime,7.9,Brian De Palma,Kevin Costner,281842,76270454.0,79.0
Hannah and Her Sisters,1986,107,Comedy,7.9,Woody Allen,Mia Farrow,67176,40084041.0,90.0
